open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1717430400000,35.666,35.686,35.252,35.384,217645.0,1717433999999,7709011.7660,22669,106003,3754728.5140,0
1717434000000,35.383,35.772,35.259,35.607,324069.0,1717437599999,11539878.2660,26434,174159,6198731.2790,0
1717437600000,35.607,35.76,35.514,35.697,115775.0,1717441199999,4127717.5290,13500,60787,2167462.0570,0
1717441200000,35.697,35.843,35.625,35.843,200678.0,1717444799999,7166814.9730,18168,99774,3563836.4530,0
1717444800000,35.843,36.098,35.765,35.768,187036.0,1717448399999,6722203.2970,18540,84486,3036966.3100,0
1717448400000,35.772,35.888,35.529,35.677,144435.0,1717451999999,5152267.4860,13483,69063,2463541.0310,0
1717452000000,35.675,35.688,35.24,35.365,342795.0,1717455599999,12128765.1450,23854,145811,5158965.6210,0
1717455600000,35.365,35.365,34.969,35.048,191059.0,1717459199999,6714436.1930,18166,85497,3004513.8710,0
1717459200000,35.049,35.156,34.7,34.914,340943.0,1717462799999,11919687.1570,34920,169568,5929778.1300,0
1717462800000,34.914,35.15,34.8,35.059,197710.0,1717466399999,6916344.6360,21376,99617,3484739.3680,0
1717466400000,35.06,35.084,34.871,34.939,116031.0,1717469999999,4059523.0280,13920,53220,1862102.3470,0
1717470000000,34.938,35.008,34.776,34.972,162903.0,1717473599999,5685863.7410,17681,80508,2810731.4870,0
1717473600000,34.972,35.205,34.864,34.939,177142.0,1717477199999,6207782.2130,18961,86939,3046945.4640,0
1717477200000,34.942,35.026,34.808,34.821,130981.0,1717480799999,4569786.5510,14911,62868,2193520.1320,0
1717480800000,34.821,34.921,34.65,34.749,196611.0,1717484399999,6836251.8060,21620,86152,2996086.6350,0
1717484400000,34.749,34.883,34.701,34.821,136928.0,1717487999999,4765238.1540,16802,64340,2239049.1490,0
1717488000000,34.824,34.968,34.673,34.733,164108.0,1717491599999,5715321.0530,18434,81052,2823550.8940,0
1717491600000,34.733,34.818,34.45,34.602,249792.0,1717495199999,8652282.7370,25258,108153,3747228.3860,0
1717495200000,34.603,34.942,34.564,34.906,222917.0,1717498799999,7755847.2540,19886,126109,4386301.2020,0
1717498800000,34.907,34.98,34.735,34.9,138305.0,1717502399999,4821488.0010,16960,74810,2607925.9680,0
1717502400000,34.901,35.028,34.801,34.89,190713.0,1717505999999,6657310.4910,20419,93146,3251570.3480,0
1717506000000,34.891,35.07,34.853,34.996,276210.0,1717509599999,9660078.8510,25014,142441,4981725.9340,0
1717509600000,34.997,35.282,34.997,35.233,393300.0,1717513199999,13831153.9740,34055,210707,7409585.1550,0
1717513200000,35.233,35.902,35.192,35.847,513982.0,1717516799999,18305132.8250,43827,249000,8865974.7310,0
1717516800000,35.847,35.972,35.606,35.972,369269.0,1717520399999,13216814.0490,34453,195071,6982762.8570,0
1717520400000,35.972,36.036,35.757,35.971,271891.0,1717523999999,9757447.0900,26631,136048,4882783.4090,0
1717524000000,35.971,36.31,35.942,35.993,345199.0,1717527599999,12472936.3320,31118,164398,5940349.9900,0
1717527600000,35.994,36.015,35.468,35.704,306107.0,1717531199999,10934907.9720,29127,142648,5096558.2100,0
1717531200000,35.704,35.894,35.567,35.769,150320.0,1717534799999,5367534.5110,16162,79505,2839009.6700,0
1717534800000,35.769,35.946,35.652,35.913,131278.0,1717538399999,4701064.7160,13404,72690,2602528.7290,0
1717538400000,35.913,35.999,35.834,35.909,113198.0,1717541999999,4065794.0590,12574,48071,1726654.7010,0
1717542000000,35.908,36.14,35.863,36.095,122830.0,1717545599999,4425479.8970,14095,61711,2223528.8390,0
1717545600000,36.096,36.267,36.031,36.197,178405.0,1717549199999,6452326.6500,19608,83843,3032345.1080,0
1717549200000,36.196,36.479,36.038,36.414,240506.0,1717552799999,8717909.7790,22966,118330,4289704.2320,0
1717552800000,36.414,36.572,36.172,36.237,241827.0,1717556399999,8798009.9400,25206,109054,3967601.1570,0
1717556400000,36.238,36.373,36.134,36.336,192749.0,1717559999999,6985199.4530,17580,89796,3254489.4340,0
1717560000000,36.335,36.485,36.205,36.29,162583.0,1717563599999,5909619.4570,16638,76835,2793040.6110,0
1717563600000,36.29,36.32,36.076,36.281,189292.0,1717567199999,6851764.0020,16982,80644,2918757.9390,0
1717567200000,36.28,36.585,36.221,36.52,170410.0,1717570799999,6205671.1250,18206,86793,3160632.1980,0
1717570800000,36.519,36.58,36.32,36.345,144073.0,1717574399999,5249132.3670,16774,63174,2301939.4910,0
1717574400000,36.345,36.445,36.224,36.393,120625.0,1717577999999,4382002.0420,13125,52957,1923959.5360,0
1717578000000,36.393,36.491,36.242,36.314,150745.0,1717581599999,5483379.2190,15061,75787,2757071.8220,0
1717581600000,36.313,36.541,36.19,36.416,183550.0,1717585199999,6678909.8870,19012,88533,3221352.1330,0
1717585200000,36.415,36.522,36.371,36.394,112037.0,1717588799999,4083768.5070,12657,55486,2022593.2030,0
1717588800000,36.393,36.54,36.17,36.304,204564.0,1717592399999,7433479.2880,21095,99267,3607337.9630,0
1717592400000,36.304,36.377,36.114,36.215,162957.0,1717595999999,5905663.7930,18265,82761,2999155.8770,0
1717596000000,36.216,36.216,35.95,36.098,298129.0,1717599599999,10757314.6950,30302,133313,4810837.6670,0
1717599600000,36.099,36.579,36.034,36.478,247840.0,1717603199999,9008966.4640,24509,120680,4386185.9600,0
1717603200000,36.477,36.839,36.434,36.598,435098.0,1717606799999,15952580.4940,32913,200174,7337176.8780,0
1717606800000,36.598,36.834,36.561,36.775,212411.0,1717610399999,7788817.3270,18285,104652,3837578.7010,0
1717610400000,36.775,36.937,36.56,36.695,261663.0,1717613999999,9617239.7690,25190,123131,4526282.2800,0
1717614000000,36.693,36.778,36.504,36.748,164513.0,1717617599999,6025374.8090,15892,78132,2862185.1610,0
1717617600000,36.75,36.845,36.648,36.681,99163.0,1717621199999,3642815.1250,10648,54138,1989212.0380,0
1717621200000,36.682,36.717,36.521,36.534,99179.0,1717624799999,3633195.5330,9810,49706,1821219.3120,0
1717624800000,36.534,36.59,36.36,36.362,153126.0,1717628399999,5585510.7930,12660,71073,2592780.2710,0
1717628400000,36.363,36.599,36.341,36.597,116556.0,1717631999999,4247825.7420,12497,58931,2147887.3980,0
1717632000000,36.597,36.66,36.516,36.524,99636.0,1717635599999,3646007.5330,11997,46094,1686727.7320,0
1717635600000,36.524,36.678,36.434,36.561,85700.0,1717639199999,3133490.8870,10490,40359,1475840.5170,0
1717639200000,36.561,36.649,36.504,36.548,83906.0,1717642799999,3069216.4900,10141,47318,1730840.9560,0
1717642800000,36.548,36.579,36.368,36.391,101618.0,1717646399999,3708582.6310,9632,44670,1630396.4720,0
1717646400000,36.391,36.434,36.283,36.361,123047.0,1717649999999,4473382.1580,13140,63676,2315222.0250,0
1717650000000,36.362,36.37,36.172,36.203,124192.0,1717653599999,4502163.1480,12562,57539,2085998.6080,0
1717653600000,36.203,36.258,36.08,36.211,132548.0,1717657199999,4793570.2760,14062,68223,2467607.9500,0
1717657200000,36.211,36.39,36.133,36.36,119661.0,1717660799999,4340601.3110,13517,61257,2221947.9500,0
1717660800000,36.36,36.73,36.267,36.729,166176.0,1717664399999,6059062.9840,17367,77292,2818590.5480,0
1717664400000,36.73,36.978,36.593,36.754,291850.0,1717667999999,10733470.8280,26545,135450,4980531.9210,0
1717668000000,36.755,36.835,36.551,36.771,134236.0,1717671599999,4925123.0550,15504,64113,2352711.7980,0
1717671600000,36.771,36.95,36.658,36.822,165808.0,1717675199999,6104417.2490,17824,84603,3114858.2370,0
1717675200000,36.821,36.888,36.611,36.741,178902.0,1717678799999,6574630.2920,19900,85085,3126936.4860,0
1717678800000,36.741,36.928,36.556,36.701,198681.0,1717682399999,7301959.6070,22162,97494,3583630.5310,0
1717682400000,36.705,36.999,36.608,36.917,256485.0,1717685999999,9446929.1220,23999,133180,4905061.9610,0
1717686000000,36.916,37.237,36.84,36.911,328100.0,1717689599999,12152267.4650,27125,162750,6029157.4470,0
1717689600000,36.914,36.98,36.625,36.649,292275.0,1717693199999,10754570.2090,27139,132013,4858830.1690,0
1717693200000,36.649,36.81,36.55,36.618,178898.0,1717696799999,6558558.7280,18369,82831,3037417.1300,0
1717696800000,36.618,36.668,36.504,36.545,94830.0,1717700399999,3467070.6630,12110,43194,1579254.6390,0
1717700400000,36.545,36.545,35.974,36.088,391689.0,1717703999999,14193170.4030,33978,160656,5818505.4990,0
1717704000000,36.089,36.258,35.725,36.23,384482.0,1717707599999,13842003.8860,30266,179576,6467423.3450,0
1717707600000,36.231,36.251,36.027,36.092,101113.0,1717711199999,3652446.6150,11365,48781,1762347.9200,0
1717711200000,36.09,36.167,36.022,36.078,95619.0,1717714799999,3451216.2980,10859,49824,1798398.3770,0
1717714800000,36.077,36.103,35.904,35.917,100484.0,1717718399999,3617832.1770,11521,41286,1486699.2860,0
1717718400000,35.917,36.037,35.863,35.956,144659.0,1717721999999,5199104.3680,15658,74695,2684824.1650,0
1717722000000,35.955,36.003,35.824,35.933,99457.0,1717725599999,3572564.0450,10554,48913,1757006.3560,0
1717725600000,35.933,35.953,35.576,35.725,181232.0,1717729199999,6474189.4130,17157,76764,2742845.3310,0
1717729200000,35.723,35.893,35.635,35.883,125873.0,1717732799999,4503365.4750,13466,71057,2542213.4940,0
1717732800000,35.883,36.018,35.591,36.001,271437.0,1717736399999,9711467.6610,22153,119797,4287888.1160,0
1717736400000,36.001,36.136,35.975,36.035,121441.0,1717739999999,4378717.9120,13297,62384,2249287.6060,0
1717740000000,36.035,36.088,35.951,36.048,105849.0,1717743599999,3813160.2580,11026,53652,1932825.9230,0
1717743600000,36.046,36.109,35.951,36.011,101466.0,1717747199999,3655522.3110,10822,47529,1712521.8410,0
1717747200000,36.012,36.085,35.985,36.031,117072.0,1717750799999,4218467.6970,11629,60691,2187017.3210,0
1717750800000,36.031,36.036,35.89,36.029,145661.0,1717754399999,5237667.0530,13278,69492,2499039.3110,0
1717754400000,36.027,36.106,35.833,36.092,169616.0,1717757999999,6100933.3930,17120,85066,3060087.4880,0
1717758000000,36.091,36.381,36.006,36.356,203402.0,1717761599999,7360416.4340,20498,105169,3805446.4530,0
1717761600000,36.356,36.74,35.701,36.159,981970.0,1717765199999,35589566.1410,80692,486848,17651832.7060,0
1717765200000,36.163,36.638,36.019,36.609,404642.0,1717768799999,14714738.3180,35020,202221,7354982.8220,0
1717768800000,36.61,36.928,36.531,36.699,396363.0,1717772399999,14555885.3730,35293,196766,7226597.8850,0
1717772400000,36.698,36.715,36.12,36.299,375031.0,1717775999999,13647641.1910,32114,181778,6614361.1820,0
1717776000000,36.299,36.387,35.836,35.91,284718.0,1717779599999,10287845.4200,27010,133830,4836875.8950,0
1717779600000,35.911,35.913,35.071,35.084,522083.0,1717783199999,18560160.2770,46847,226486,8058030.0980,0
1717783200000,35.082,35.173,30.7,33.265,4211595.0,1717786799999,138100362.0080,334881,1944829,63796388.7820,0
1717786800000,33.266,33.707,32.8,33.428,868529.0,1717790399999,28923370.1450,74020,365692,12175504.4840,0
1717790400000,33.431,33.678,33.114,33.536,498817.0,1717793999999,16635739.4800,42719,237408,7918177.0610,0
1717794000000,33.536,33.666,33.415,33.603,201012.0,1717797599999,6740908.1620,22229,86425,2898193.8920,0
1717797600000,33.603,33.752,33.539,33.643,188646.0,1717801199999,6344550.8710,22161,90570,3046145.0560,0
1717801200000,33.643,33.696,33.505,33.515,156200.0,1717804799999,5246548.7880,19371,73059,2454314.9480,0
1717804800000,33.515,33.522,33.304,33.398,294631.0,1717808399999,9840290.8790,33257,124107,4145360.9420,0
1717808400000,33.397,33.711,33.375,33.671,128105.0,1717811999999,4300210.6900,18017,55445,1861166.0120,0
1717812000000,33.672,33.686,33.39,33.531,128335.0,1717815599999,4302255.1170,15675,51937,1741167.1970,0
1717815600000,33.531,33.73,33.5,33.612,89564.0,1717819199999,3010617.7360,14500,40098,1347887.3050,0
1717819200000,33.612,33.724,33.561,33.613,112932.0,1717822799999,3798736.2380,15129,48446,1629568.3460,0
1717822800000,33.613,33.702,33.573,33.603,117758.0,1717826399999,3959133.0880,13723,52800,1775336.2220,0
1717826400000,33.603,33.631,33.462,33.484,151753.0,1717829999999,5090723.2480,15895,69255,2323280.2010,0
1717830000000,33.484,33.619,33.467,33.608,142489.0,1717833599999,4779679.2460,18134,66837,2242107.4270,0
1717833600000,33.608,33.608,33.345,33.383,141394.0,1717837199999,4729272.4570,18607,61834,2067878.1930,0
1717837200000,33.384,33.392,33.254,33.274,93006.0,1717840799999,3099073.0520,12572,43527,1450442.8050,0
1717840800000,33.275,33.282,32.977,33.099,251457.0,1717844399999,8322161.1290,20792,123139,4075109.5320,0
1717844400000,33.101,33.16,32.575,32.683,313728.0,1717847999999,10302268.9210,30257,143460,4710391.5740,0
1717848000000,32.683,32.76,32.332,32.486,415835.0,1717851599999,13536077.8590,34982,190524,6202285.9800,0
1717851600000,32.487,32.59,32.093,32.586,426835.0,1717855199999,13806906.3970,36023,215583,6974560.9210,0
1717855200000,32.586,32.697,32.268,32.655,230398.0,1717858799999,7483976.3090,22227,103633,3367352.4150,0
1717858800000,32.653,32.685,32.414,32.45,134623.0,1717862399999,4380139.8070,14292,61494,2000713.2590,0
1717862400000,32.45,32.511,32.201,32.392,235728.0,1717865999999,7626166.6840,22405,109874,3554939.3660,0
1717866000000,32.392,32.594,32.112,32.433,269818.0,1717869599999,8734647.2470,23440,125493,4062900.6810,0
1717869600000,32.433,32.657,32.369,32.468,200694.0,1717873199999,6525885.6160,18208,96790,3147701.9800,0
1717873200000,32.468,32.558,32.211,32.254,195731.0,1717876799999,6338556.4490,15655,78500,2543994.9200,0
1717876800000,32.253,32.28,32.035,32.197,201522.0,1717880399999,6483107.3320,17374,104086,3349247.1560,0
1717880400000,32.198,32.337,32.089,32.269,90358.0,1717883999999,2911921.9680,9343,48225,1554229.9200,0
1717884000000,32.269,32.353,31.916,32.191,239938.0,1717887599999,7701284.3050,20522,110830,3558433.5500,0
1717887600000,32.191,32.321,32.089,32.262,109196.0,1717891199999,3518001.0370,11492,56704,1826797.2080,0
1717891200000,32.263,32.327,32.207,32.224,143438.0,1717894799999,4630062.3050,14888,73146,2361128.1860,0
1717894800000,32.224,32.503,32.176,32.488,152877.0,1717898399999,4946895.7670,14569,75135,2431301.0720,0
1717898400000,32.489,32.49,32.067,32.073,172778.0,1717901999999,5569418.5020,17753,72063,2322497.3780,0
1717902000000,32.072,32.332,32.023,32.251,120169.0,1717905599999,3867047.4790,13331,63073,2030033.4110,0
1717905600000,32.251,32.388,32.236,32.294,86780.0,1717909199999,2804340.6170,9576,45109,1457591.5430,0
1717909200000,32.295,32.454,32.081,32.381,132254.0,1717912799999,4271542.2370,14007,64332,2077838.8130,0
1717912800000,32.382,32.51,32.324,32.366,103479.0,1717916399999,3353904.2390,10829,54900,1779515.3860,0
1717916400000,32.367,32.488,32.367,32.428,105741.0,1717919999999,3430480.1250,9966,48315,1567527.4260,0
1717920000000,32.428,32.558,32.386,32.485,91532.0,1717923599999,2972568.4060,9816,41260,1340028.3580,0
1717923600000,32.482,32.548,32.439,32.513,74684.0,1717927199999,2427052.9990,8116,36665,1191515.4020,0
1717927200000,32.514,32.518,32.372,32.382,72618.0,1717930799999,2354944.8700,7733,35679,1157096.5920,0
1717930800000,32.383,32.423,32.282,32.311,97048.0,1717934399999,3139232.8580,10348,48994,1585050.8700,0
1717934400000,32.311,32.631,32.206,32.572,203390.0,1717937999999,6596229.9790,17441,104061,3374252.5400,0
1717938000000,32.571,32.614,32.227,32.338,223087.0,1717941599999,7218297.4210,19075,103608,3351434.2780,0
1717941600000,32.337,32.506,32.3,32.502,152415.0,1717945199999,4942645.9520,12758,73660,2389046.9750,0
1717945200000,32.501,32.542,32.407,32.448,93111.0,1717948799999,3024120.8510,9595,44114,1432723.8270,0
1717948800000,32.448,32.62,32.425,32.604,105114.0,1717952399999,3418568.8330,11285,47871,1556786.8040,0
1717952400000,32.603,32.646,32.513,32.628,76833.0,1717955999999,2504056.1080,8746,38124,1242626.7100,0
1717956000000,32.628,32.922,32.608,32.91,135262.0,1717959599999,4431682.3940,13579,64139,2101531.2640,0
1717959600000,32.91,33.01,32.851,32.915,148694.0,1717963199999,4895566.3800,13452,56000,1843857.3840,0
1717963200000,32.915,32.968,32.739,32.805,83711.0,1717966799999,2748335.2090,9804,39225,1287880.4700,0
1717966800000,32.805,32.916,32.751,32.909,80444.0,1717970399999,2642073.4390,8160,37513,1232088.3750,0
1717970400000,32.91,32.968,32.807,32.868,104849.0,1717973999999,3448775.2610,10040,49694,1634805.5900,0
1717974000000,32.864,32.995,32.817,32.977,66886.0,1717977599999,2199894.1820,6837,34476,1134068.3700,0
