open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1717430400000,628.31,629.05,620.1,622.27,84720.87,1717433999999,52806686.59190,75463,34462.48,21490128.71730,0
1717434000000,622.28,623.48,620.2,622.76,33368.43,1717437599999,20747174.35120,36957,18494.11,11499979.09180,0
1717437600000,622.75,625.55,621.99,625.19,33749.07,1717441199999,21057532.73070,31403,18913.16,11802066.69450,0
1717441200000,625.19,626.26,624.14,625.91,17132.04,1717444799999,10714453.40240,21934,9784.49,6119766.65500,0
1717444800000,625.97,627.27,625.05,625.3,18699.63,1717448399999,11711237.60820,25122,9032.26,5657258.99190,0
1717448400000,625.3,626.61,623.02,626.46,20442.03,1717451999999,12769811.57150,25096,9698.32,6058606.48620,0
1717452000000,626.45,628.88,624.15,628.63,23544.49,1717455599999,14761504.49160,27667,12691.55,7957816.86110,0
1717455600000,628.62,629.66,626.22,626.86,22392.24,1717459199999,14062308.66240,21965,10276.64,6456136.18320,0
1717459200000,626.86,629.99,625.46,629.5,46616.54,1717462799999,29263869.15230,42924,24127.65,15147867.77180,0
1717462800000,629.5,631.96,628.3,631.86,28951.06,1717466399999,18237888.30430,32652,15520.34,9778640.10080,0
1717466400000,631.85,631.86,627.98,628.85,19499.56,1717469999999,12276784.89050,22360,8023.78,5051163.71060,0
1717470000000,628.85,635.29,628.59,634.94,39522.7,1717473599999,24998242.29380,37888,24663.47,15602594.17180,0
1717473600000,634.94,635.91,630.58,631.05,33704.96,1717477199999,21342668.30820,35155,16067.59,10175920.70830,0
1717477200000,631.04,633.53,629.73,632.13,36533.24,1717480799999,23084192.89190,35590,15984.83,10099649.48340,0
1717480800000,632.13,632.14,628.33,628.8,37454.66,1717484399999,23606316.35270,38914,16848.89,10620259.36410,0
1717484400000,628.8,633.89,628.27,629.01,51795.42,1717487999999,32669158.98780,49475,23781.19,14999456.69580,0
1717488000000,629.01,632.05,627.51,628.2,30730.9,1717491599999,19342197.49600,38035,13150.79,8279516.95530,0
1717491600000,628.21,629.66,625.18,626.53,41181.42,1717495199999,25850517.59600,45136,21077.38,13232199.96200,0
1717495200000,626.53,647.9,626.07,641.21,345956.51,1717498799999,221132495.05300,285572,189027.08,120838633.20530,0
1717498800000,641.22,649.48,641.22,646.15,125966.1,1717502399999,81353556.05270,111727,73135.07,47232973.67550,0
1717502400000,646.14,649.28,644.7,646.87,75118.43,1717505999999,48588720.55700,73427,37224.81,24081516.19830,0
1717506000000,646.87,654.81,645.48,649.91,160077.65,1717509599999,103938022.75680,139726,85825.97,55734038.12330,0
