open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1747713600000,105720.0,106219.3,105500.9,106181.2,6064.05,1747717199999,641616447.25270,108525,3729.832,394719512.07650,0
1747717200000,106181.1,106371.3,106016.6,106065.6,5385.009,1747720799999,571848275.71750,109504,2295.052,243746130.19640,0
1747720800000,106065.5,106178.2,105345.4,105411.8,6519.389,1747724399999,688553443.86400,125433,2953.276,311868986.22140,0
1747724400000,105411.8,105699.3,104868.5,104980.1,9252.16,1747727999999,973574191.16000,168184,4383.158,461284594.05640,0
1747728000000,104980.1,105219.5,104808.6,105182.1,6748.135,1747731599999,708854019.91530,114385,3763.996,395409855.61530,0
1747731600000,105182.0,105350.0,105137.4,105238.2,4499.97,1747735199999,473642764.71710,72636,2320.959,244294723.91030,0
1747735200000,105238.2,105371.7,104942.2,104974.5,4495.685,1747738799999,472640163.30810,81641,1850.638,194584962.62950,0
1747738800000,104974.5,105290.0,104868.5,105159.2,5046.349,1747742399999,530353280.17430,86825,2819.177,296286978.00960,0
1747742400000,105159.3,105163.4,104600.0,104718.6,7532.016,1747745999999,789396294.20520,116083,3197.066,335006151.92670,0
1747746000000,104718.6,104822.0,104115.2,104395.5,15291.843,1747749599999,1596435288.08210,218932,8396.232,876541734.21500,0
1747749600000,104395.5,104932.4,104244.4,104469.2,10321.23,1747753199999,1080088001.39360,185382,5475.599,573030392.95870,0
1747753200000,104469.2,105357.6,104439.6,105294.5,8308.367,1747756799999,872428906.71540,160297,4605.225,483489608.22710,0
1747756800000,105294.5,105474.2,105028.4,105159.6,5643.082,1747760399999,594043679.85380,124628,2634.409,277367496.59580,0
1747760400000,105159.6,106295.3,105159.5,106153.6,15301.779,1747763999999,1621222543.98470,244246,8495.252,899952134.04830,0
1747764000000,106153.6,106379.6,105188.4,105242.4,12509.698,1747767599999,1323356654.92990,215671,5491.401,580929794.68660,0
1747767600000,105242.5,107252.9,105156.8,106972.2,21133.831,1747771199999,2249428466.11070,295684,12504.819,1331213560.73730,0
1747771200000,106972.3,107292.5,106361.6,106870.7,15055.442,1747774799999,1607581685.38840,225739,7383.319,788553212.45580,0
1747774800000,106870.6,107199.9,106079.1,106566.5,7647.981,1747778399999,815290172.35280,156941,3445.195,367301189.41370,0
1747778400000,106566.6,106854.3,105875.8,106718.3,10014.474,1747781999999,1064975862.09200,166812,4848.535,515682606.83960,0
