open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1717430400000,17.953,17.969,17.645,17.689,956590.69,1717433999999,16988147.54846,39314,388583.76,6900440.39945,0
1717434000000,17.689,17.704,17.634,17.675,444322.49,1717437599999,7850328.13550,24327,245616.08,4340090.55993,0
1717437600000,17.674,17.76,17.641,17.74,378226.95,1717441199999,6691317.61015,20409,232961.39,4121073.38367,0
1717441200000,17.74,17.755,17.638,17.732,323326.46,1717444799999,5720480.33523,18073,176541.65,3123640.26353,0
1717444800000,17.733,17.775,17.663,17.672,281583.45,1717448399999,4991960.59332,15991,137201.16,2432575.32697,0
1717448400000,17.673,17.682,17.607,17.645,259891.79,1717451999999,4587309.31816,13769,129608.22,2287870.76765,0
1717452000000,17.645,17.653,17.579,17.598,311853.29,1717455599999,5492705.08949,15394,162227.02,2857690.67896,0
1717455600000,17.598,17.648,17.546,17.635,257815.93,1717459199999,4535448.58060,15922,123119.42,2166094.89120,0
1717459200000,17.636,17.656,17.51,17.598,395697.18,1717462799999,6964442.63722,23413,202777.14,3569570.22162,0
1717462800000,17.599,17.645,17.556,17.598,277943.37,1717466399999,4891097.54992,16878,146248.05,2573875.00538,0
1717466400000,17.598,17.603,17.555,17.569,187471.04,1717469999999,3294954.22783,13710,95504.86,1678556.29457,0
1717470000000,17.57,17.675,17.556,17.672,339729.89,1717473599999,5991341.43651,17414,195498.68,3447533.47664,0
1717473600000,17.672,17.672,17.568,17.58,273393.23,1717477199999,4816360.34211,16621,138851.66,2446395.42308,0
1717477200000,17.581,17.66,17.535,17.642,230193.04,1717480799999,4053276.34148,15575,116501.80,2051834.71244,0
1717480800000,17.642,17.688,17.572,17.627,261708.08,1717484399999,4614430.85616,17081,127136.17,2241881.57420,0
1717484400000,17.626,17.688,17.6,17.669,186448.58,1717487999999,3291404.94080,14033,94540.16,1669111.13067,0
1717488000000,17.669,17.724,17.59,17.61,344505.6,1717491599999,6085425.42859,19858,157583.28,2784121.35528,0
1717491600000,17.61,17.634,17.475,17.546,365563.96,1717495199999,6417251.11426,21957,147286.08,2586606.10401,0
1717495200000,17.546,17.694,17.542,17.642,296051.92,1717498799999,5220451.32442,18479,149892.97,2643070.05271,0
1717498800000,17.641,17.691,17.59,17.645,284679.26,1717502399999,5023878.16823,17696,125811.51,2220477.40812,0
1717502400000,17.645,17.771,17.636,17.763,377480.33,1717505999999,6680664.73175,22583,191905.82,3396644.62148,0
1717506000000,17.762,17.858,17.742,17.747,627073.18,1717509599999,11166525.28231,32263,311392.25,5545372.78909,0
1717509600000,17.748,17.792,17.675,17.701,513817.03,1717513199999,9111699.28811,28096,253805.22,4501338.74153,0
1717513200000,17.7,17.828,17.661,17.799,428791.71,1717516799999,7617915.95680,24886,219571.09,3900960.76909,0
1717516800000,17.799,17.865,17.754,17.801,498416.41,1717520399999,8879774.71374,25966,239134.39,4260466.99377,0
1717520400000,17.8,17.844,17.698,17.755,352968.41,1717523999999,6272478.28915,20612,172891.88,3072414.36032,0
1717524000000,17.754,17.853,17.719,17.759,279428.8,1717527599999,4968918.80400,18799,141779.54,2521298.27507,0
1717527600000,17.758,17.761,17.564,17.674,436482.21,1717531199999,7706197.11565,22888,192845.86,3406285.59658,0
1717531200000,17.673,17.72,17.606,17.709,226027.63,1717534799999,3991939.75752,14907,124852.71,2205356.91325,0
1717534800000,17.709,17.716,17.625,17.656,182307.38,1717538399999,3221407.30879,11853,111868.23,1976538.70000,0
